일본어,읽기,뜻,연도,페이지,분류,섹션,검수상태,관계그룹,원본표현,출처파일
凝る,,"엉 기다, 응 고 하다 @ 열 중 하다",,130,,,,,,~139.csv
捧げる,,바 치 다,,130,,,,,,~139.csv
さする,,분 지 르다,,130,,,,,,~139.csv
察する,さっ,"헤 아 리 다, 살 피 다",,130,,,,,,~139.csv
妨げる,さまた,방 해 하다,,130,,,,,,~139.csv
沈む,しず,가 라 았 다 @ (해달) 지다,,130,,,,,,~139.csv
滑る,すべ,미,,131,,,,,,~139.csv
擦れる,,스치,,131,,,,,,~139.csv
唆す,ものか,"꼬 드 기다, 부",,131,,,,,,~139.csv
反る,,활 모 양 으로),,131,,,,,,~139.csv
賜る,まわ,"받다, 내 려 주 시 다",,131,,,,,,~139.csv
仕える,つか,시 중 들다 섬,,131,,,,,,~139.csv
っな,,때,,131,,,,,,~139.csv
償う,,"갔다, 보 상 하다.",,131,,,,,,~139.csv
培う,っちか,"가 꾸 다. 기 르 다,",,131,,,,,,~139.csv
つっつく,,콕 룩 찌르,,131,,,,,,~139.csv
制する,せい,"제 지 하다, 억제",,131,,,,,,~139.csv
縮まる,ちち,줄 다 감 스다 @,,131,,,,,,~139.csv
つぶる,ば,눈 을 ) 감 다,,131,,,,,,~139.csv
詰めかける,っ,몰 려 들다,,131,,,,,,~139.csv
しゃれる,するる,세 런 되다 멋지,,131,,,,,,~139.csv
染める,せば,"물 들 이 다, 염 색 하다",,131,,,,,,~139.csv
桁る,たてまっ,바 치 다,,131,,,,,,~139.csv
たるお,,"느 슨 해 지다, 해 이 해지",,131,,,,,,~139.csv
継ぐ,っ,있다 계 승 하다,,131,,,,,,~139.csv
った,,재,,131,,,,,,~139.csv
つまむ,っを,"집 다 , 집 어 먹다",,131,,,,,,~139.csv
転じる,てん,전 흰 하다,,132,,,,,,~139.csv
遠ざかる,とお,멀 어 지 다,,132,,,,,,~139.csv
説く,,설 득 하다,,132,,,,,,~139.csv
途絶える,だ,"두 철 되다, 급 어 지",,132,,,,,,~139.csv
飛び掛かる,か,대 들 다 덤 버들,,132,,,,,,~139.csv
富む,,재 산 이 많다 ~ 이 품 부 해,,132,,,,,,~139.csv
取り調べる,しら,조 사 하다 문 초,,132,,,,,,~139.csv
取り付ける,,"달다, 장 치 하다",,132,,,,,,~139.csv
取り巻く,,"둘 러 싸 다 , 에 워 비드",,132,,,,,,~139.csv
取り寄せる,るよ,주 문 해서 가,,132,,,,,,~139.csv
義える,な,힘 이 풀 리 다 쇠 약 해지,,132,,,,,,~139.csv
なめる,,힐다 @( 쓰 라 림 을),,132,,,,,,~139.csv
似通う,,"서로 비 슷 하 다, 흡 사 해",,132,,,,,,~139.csv
ねたむ,,질 투 하다,,132,,,,,,~139.csv
粘り着く,ねば,근 적 히게 달 라 봄,,132,,,,,,~139.csv
乗っ取る,,빼 앗다 @ 납치,,132,,,,,,~139.csv
の,,은:,,132,,,,,,~139.csv
投じる,,편 승 히다 @ 참 여 하 다 @,,132,,,,,,~139.csv
同じる,,동 의 하다,,132,,,,,,~139.csv
遠ざける,,"멀 리 하다, 기 피 하다",,132,,,,,,~139.csv
途切れるる,き,도 중 에 끊 어 지 다,,132,,,,,,~139.csv
取り押さえる,お,"역 누 르 다 , 붙 잡다",,132,,,,,,~139.csv
取り持つ,,주 선 하 다 . 접 대 하 다,,132,,,,,,~139.csv
抜かす,,빠 뜨 리 다,,132,,,,,,~139.csv
ねだる,,"조 르 다, 졸 라 대다",,132,,,,,,~139.csv
飲み込む,,삼 키다 @ 이 해 하다,,132,,,,,,~139.csv
う,,항 복 하다 ④ 던지다,,132,,,,,,~139.csv
とがめる,,책 망 히다,,132,,,,,,~139.csv
届ける,とじる,보 내 어 주 다 @ 신 고 하다,,132,,,,,,~139.csv
どなる,,호 통 을 치다,,132,,,,,,~139.csv
飛び交う,とる,어 지 럽 게 날다,,132,,,,,,~139.csv
飛び抜けるぇ,ぬ,뛰어나다,,132,,,,,,~139.csv
取り下げる,でさ,취 하 하다 철 회 하다,,132,,,,,,~139.csv
取り外す,,"떼 다. 빼다, 해 체 하다",,132,,,,,,~139.csv
なぞる,とろける,"글 비 - 그 림 위에 덧 쓰 다 , 본 뜨다",,132,,,,,,~139.csv
慣らす,な,"길 들 이 다 , 단 련 시키다",,132,,,,,,~139.csv
のっとる則る,すき,따 르 다 . 본 받다,,132,,,,,,~139.csv
載る,の,"신문, 잡 지 에 ) 실 리다",,132,,,,,,~139.csv
博する,は,"얻다, 널 :",,133,,,,,,~139.csv
発する,,발 하 다,,133,,,,,,~139.csv
ばれる,りす,탄 로 나다,,133,,,,,,~139.csv
踏まえる,やかす,입 각 하다,,133,,,,,,~139.csv
ぼける,,둔 해지다 る =,,133,,,,,,~139.csv
舞う,,"춤 추 다, 흘 날 리 다",,133,,,,,,~139.csv
まごつく,,당 황 하다.,,133,,,,,,~139.csv
り出す,はかえ,"게 시 하다, 내어 붙이다",,133,,,,,,~139.csv
ひか,,때,,133,,,,,,~139.csv
浸す,ひた,액체 속에) 담 그 다,,133,,,,,,~139.csv
ふける,,열 중 하다,,133,,,,,,~139.csv
踏み込む,ふ,발 을 들 여 농 다,,133,,,,,,~139.csv
負かす,ま,"이 기 다, 굴 복 시키다",,133,,,,,,~139.csv
勝る,まさ,낮다 뛰어나다,,133,,,,,,~139.csv
はたく,は,치다. 때 리 다,,133,,,,,,~139.csv
率いる,ひき,거 느 리 다. 인 슬 하 다,,133,,,,,,~139.csv
放り込む,ほう,아무렇게나) 넣다,,133,,,,,,~139.csv
滅ぼす,,멸 망 시키다,,133,,,,,,~139.csv
交わる,まか,교 차 하다 @ 뒤 셔 (,,133,,,,,,~139.csv
見入る,みい,열 심 히 보다,,134,,,,,,~139.csv
乱す,みだ,"어 지 럽 히 다, 흘 트 리 다",,134,,,,,,~139.csv
見習う,みなら,"본 받 다 , 견 습 하 다",,134,,,,,,~139.csv
見計らう,,가 능 보다. 적당히 고,,134,,,,,,~139.csv
結び付く,もす,"결 부 되다, 이 어 지 다",,134,,,,,,~139.csv
めくる,,"넘 기 다 , 젖 히다",,134,,,,,,~139.csv
申し入れる,もい,"제 의 하 다 , 제 기하",,134,,,,,,~139.csv
もがく,,발 버 둥 치다,,134,,,,,,~139.csv
基づく,,"기 초 를 두다, 의 거 하다",,134,,,,,,~139.csv
漏らす,も,"새 게 하 다 , 누 설 하다",,134,,,,,,~139.csv
安らぐ,,마 음 이) 편 안 해 지다,,134,,,,,,~139.csv
辞める,,"그 만 두 다, 사 직 하다",,134,,,,,,~139.csv
委ねる,ゆだ,"맡 기 다, 위 임 하다",,134,,,,,,~139.csv
寄せる,ゆる,일 려 오다 @ HP ct,,134,,,,,,~139.csv
見とれる,み,너 을 일 고 보다 (,,134,,,,,,~139.csv
見抜く,みぬ,"긴 파 하다, 和 革 0 加 ct Eg",,134,,,,,,~139.csv
診る,,진 찰 하다 C,,134,,,,,,~139.csv
むしる,,"쥐 어 픈 다, 잡 아 뽑 다, 떼어 내다",,134,,,,,,~139.csv
結び付ける,むす,결 합 시키다 a,,134,,,,,,~139.csv
もう,め,전,,134,,,,,,~139.csv
申し出る,,자 청 하 다 신 청 하,,134,,,,,,~139.csv
もてあます,,"힘 에 겨 워 하 다 , 주 체 못 ㅎ",,134,,,,,,~139.csv
もめる,,"분 규 가 일 어 나 다, 옥 신 각 신 하 다",,134,,,,,,~139.csv
漏る,も,물 등 이 새 다 E,,134,,,,,,~139.csv
破る,,"깨 다 , 어 기다 ㄷ",,134,,,,,,~139.csv
やり遂げる,と,끝까지 해 내 다,,134,,,,,,~139.csv
有する,ゆう,가 지 다 . 소 유 하 다 E,,134,,,,,,~139.csv
揺らぐ,ゆ,흔 들 리 다 n,,134,,,,,,~139.csv
要する,よう,요 하 다 필 요 로 sc C,,134,,,,,,~139.csv
寄り掛かる,よか,의 존 하다,,134,,,,,,~139.csv
見せびらかす,み,과 시 하다,,134,,,,,,~139.csv
みなす,,간 주 하다,,134,,,,,,~139.csv
見逃す,みのが,놓 치 다 못 보 다,,134,,,,,,~139.csv
見渡す,みわた,"멀리 바 라 다 보다, 전 망 하다",,134,,,,,,~139.csv
免じる,めん,연 제 하다,,134,,,,,,~139.csv
病むき言,や,알다,,134,,,,,,~139.csv
緩む,ゆる,헐 렁 해지다. 누 그 러 지다,,134,,,,,,~139.csv
よける,,피하다 옆 으 로 비 키 다,,134,,,,,,~139.csv
あどけない,あか,천 진 난 만하,,135,,,,,,~139.csv
意地悪い,いじわる,"심 술 긋 다, 짓 곳",,135,,,,,,~139.csv
うとましい,,"거 슬 리 다, 4",,135,,,,,,~139.csv
重々しい,おもおも,엄 숙 하고 무게,,135,,,,,,~139.csv
渋い,さた,떨다,,135,,,,,,~139.csv
生臭い,なまぐさ,비 린 내 가나다,,135,,,,,,~139.csv
はかない,,덧 없다 무 상 하다,,135,,,,,,~139.csv
欲深い,よくぶか,욕 심 이 많다,,135,,,,,,~139.csv
せこい,いゃ,"교 활 하 다 , 믿 을 수없다",,135,,,,,,~139.csv
情け深い,,인 정 이 많다,,135,,,,,,~139.csv
悩ましい,,"괴롭다, 고 통 스 럽 다",,135,,,,,,~139.csv
甚だしい,はなは,대단하다,,135,,,,,,~139.csv
よそよそしい,,서 먹 서 먹 하다,,135,,,,,,~139.csv
いじらしい,,"애 처 롭다, 안 쓰 럽 다",,135,,,,,,~139.csv
疎い,うと,"사 이 가) 멀다, 소 원 하다",,135,,,,,,~139.csv
かなわない,おくゆか,견 딜 수없다,,135,,,,,,~139.csv
好ましい,この,마 음 에 들다. 호 감 이 개,,135,,,,,,~139.csv
手荒い,てぁら,"난 폭 하다, 거칠다",,135,,,,,,~139.csv
手ぬるい,,미 온 적 이다,,135,,,,,,~139.csv
何気ない,なにげ,아무렇지도 않다,,135,,,,,,~139.csv
粘り強い,ねば,곤 기 있다,,135,,,,,,~139.csv
空しい,むな,"공 허 하다, 허 무 하다",,135,,,,,,~139.csv
物々しい,ものもの,어 마 어 마 하다,,135,,,,,,~139.csv
浅はか,あぁあさ,천 박 함 경 솔 함,,136,,,,,,~139.csv
粋,,"멋짐, 세 련 됨",,136,,,,,,~139.csv
鋭利,えいり,예 리 함,,136,,,,,,~139.csv
果敢,かかん,과 강함,,136,,,,,,~139.csv
過敏,,과 만함,,136,,,,,,~139.csv
九屈幸生,きゅうくつ,"답답함, 비 좁 음",,136,,,,,,~139.csv
強大,きょうだい,강 대 함 강 력 함,,136,,,,,,~139.csv
きらびやか,,눈부시게 화 려 함,,136,,,,,,~139.csv
謙虚,けんきょ,경 허 할,,136,,,,,,~139.csv
滑けい,こっ,우 스 움 우 스 광 스러움,,136,,,,,,~139.csv
安穏,あんのん,안 온 함,,136,,,,,,~139.csv
嫌味,いやゃみ,불 쾌 함 아 니 꼬 움,,136,,,,,,~139.csv
穏和,おんわ,온 화 참,,136,,,,,,~139.csv
過激,かげき,괴 격 함,,136,,,,,,~139.csv
気軽,きがる,소 탈 함 부담 없음,,136,,,,,,~139.csv
入口希薄,きはく,희 박 함,,136,,,,,,~139.csv
強固,きょうこ,"공 고 함 , 강 경 항",,136,,,,,,~139.csv
強烈,きょうれつ,강렬함,,136,,,,,,~139.csv
愚直,,우 직 함 C,,136,,,,,,~139.csv
高慢,こうまん,거 만 함 건 방 짐 C,,136,,,,,,~139.csv
いい加減中旬名和信,かげん,엉터리,,136,,,,,,~139.csv
淫乱,いんらん,음 란 함,,136,,,,,,~139.csv
騰病,おくびょう,검 이 많음,,136,,,,,,~139.csv
昔酷,かこく,가 혹 함,,136,,,,,,~139.csv
簡潔,かんけつ,간 결 함,,136,,,,,,~139.csv
きゃしゃ,さく,가 늘 픔,,136,,,,,,~139.csv
狭小,きょうしょう,협 소 함 비 좁 음,,136,,,,,,~139.csv
清らか,きよ,"맑음, 깨끗함",,136,,,,,,~139.csv
軽薄,けいはくぐ,경 박 함,,136,,,,,,~139.csv
厳粛,,엄 숙 함,,136,,,,,,~139.csv
従順,し,온 순 함 다 소 곳 함,,137,,,,,,~139.csv
粋,すいす,증 류 를 즐긴,,137,,,,,,~139.csv
誠実,せいじっせいし,성실함,,137,,,,,,~139.csv
疎遠,そえんそう,소 원 한,,137,,,,,,~139.csv
素朴,,소박함,,137,,,,,,~139.csv
堪能,たんのうたんばぱくぐ,뛰어남,,137,,,,,,~139.csv
級密,ちみつっちょめい,치 일 합,,137,,,,,,~139.csv
異,とっび,특 이 함,,137,,,,,,~139.csv
やか,,부드러움 온 화 함,,137,,,,,,~139.csv
直,になおせいこう,순 진 함 솔직함,,137,,,,,,~139.csv
款成就,,성 숙 힘,,137,,,,,,~139.csv
凡唐,ぼんよう,범용 평범,,137,,,,,,~139.csv
無邪気,むしじゃき,"천 진 함 , 순 진 함 악의 eg",,138,,,,,,~139.csv
むちゃくちゃ,,엄 망 진 창 . 터 5,,138,,,,,,~139.csv
憂鬱,っ,우울함,,138,,,,,,~139.csv
律儀・律義,りちぎりちぎ,"의 리 가 두 터 움 ,",,138,,,,,,~139.csv
老練,るれん,노련함,,138,,,,,,~139.csv
あらわに,,"노 골 적 으로, 공공연:",,138,,,,,,~139.csv
ー応ゃ,いちおう,일단,,138,,,,,,~139.csv
ー度,いちど,한 번 @ 일 단,,138,,,,,,~139.csv
未だに,いま,"아 직 껏 , 아 직 까지도, 현 )",,138,,,,,,~139.csv
今や,いま,"지 금 이야말로, 바야흐로, 지",,138,,,,,,~139.csv
うっとり,,"너 을 일고, 횡 출 하 거",,138,,,,,,~139.csv
えてして,,까 딱 하면,,138,,,,,,~139.csv
有益,ゆうえき,유 익 할,,138,,,,,,~139.csv
綴やか,ゆる,완 만 함 느 릿 함 느 삼다,,138,,,,,,~139.csv
雰細,れいさい,영 서 함 1m,,138,,,,,,~139.csv
ろく,,변 변 함 제 대 로 임,,138,,,,,,~139.csv
案外,あんがい,의외로,,138,,,,,,~139.csv
ー概に,いちいち,일률적:,,138,,,,,,~139.csv
夢中,,열 중 함 몰 두 함,,138,,,,,,~139.csv
勇敢,ゆうかん,용 김 함,,138,,,,,,~139.csv
コ妖軸,ようえん,요 영 함,,138,,,,,,~139.csv
コ理不尽,りふじん,불 합 리 함 무 리 함,,138,,,,,,~139.csv
歴然,れきぜん,분 영 함 또 릿 함,,138,,,,,,~139.csv
がっちり,,단단히 팍 야 무 2,,139,,,,,,~139.csv
ぎっしり,きちっときちんと,가득. 잔 톡,,139,,,,,,~139.csv
くっきり,,선 명 하 7,,139,,,,,,~139.csv
ぐらぐら,,흔 들 촌 들,,139,,,,,,~139.csv
げっそり,,홈 쪽 하 게 (갑자기 <,,139,,,,,,~139.csv
さしたる,ごっそり,이렇다할 별 반 의,,139,,,,,,~139.csv
さらさらない,,결로,,139,,,,,,~139.csv
散々,さんざん,"몰 시 실 컷 , 단 단 히 호되게",,139,,,,,,~139.csv
ビじわじわ,として,서서히 조금씩,,139,,,,,,~139.csv
少なからず,すく,적 지 않 게 많이,,139,,,,,,~139.csv
ずるずる,,질 질 (질질 끌 거나 글,,139,,,,,,~139.csv
せいぜい,,"겨우, 고작",,139,,,,,,~139.csv
も,く,"부디, 아무쪼록",,139,,,,,,~139.csv
と利和る財否財否,,빛나는 모양),,139,,,,,,~139.csv
と,,"산뜻한 모양, ( 맛 등) 담 백 함 , 남 김 없이",,139,,,,,,~139.csv
・すらっと,,"술술, 쑥 막 힘 이 없는 모양)",,139,,,,,,~139.csv
だらだら,,질질; 느릿느릿; 지루하게,,140,부사·의태어,,,,,~161.csv
ちやほや,,치켜세우는 모양; 응석을 받아주는 모양,,140,부사·의태어,,,,,~161.csv
ちょくちょく,,이따금; 자주,,140,부사,,,,,~161.csv
ちょっぴり,,조금; 약간,,140,부사,,,,,~161.csv
ちらっと,,힐끗; 언뜻,,140,부사,,,R0031,ちらっと／ちらりと,~161.csv
ちらりと,,힐끗; 언뜻,,140,부사,,,R0031,ちらっと／ちらりと,~161.csv
遂に,,드디어; 마침내; 결국,,140,부사,,,,,~161.csv
とうてい,,도저히,,140,부사,,,,,~161.csv
堂々と,,당당하게,,140,부사,,,,,~161.csv
どうりで,,과연; 어쩐지,,140,부사,,,,,~161.csv
時折,,때때로; 이따금,,140,부사,,,,,~161.csv
どことなく,,어딘지 모르게,,140,부사,,,,,~161.csv
どたばた,,우당탕; 부산스럽게,,140,부사·의태어,,,,,~161.csv
やけに,,유난히; 몹시,,140,부사,,,,,~161.csv
ゆるゆる,,천천히; 느릿느릿,,140,부사·의태어,,,,,~161.csv
とりたてて,,특별히; 특히,,140,부사,,,,,~161.csv
とろとろ,,걸쭉하게; 느릿느릿,,140,부사·의태어,,,,,~161.csv
どろどろ,,질척질척; 걸쭉하게,,140,부사·의태어,,,,,~161.csv
わりに,,비교적; 생각보다,,140,부사,,,,,~161.csv
なおさら,,더욱더; 더한층,,140,부사,,,,,~161.csv
長々,,오랫동안; 장황하게,,140,부사,,,,,~161.csv
なるたけ,,되도록; 가능한 한,,140,부사,,,,,~161.csv
なんだかんだ,,이러니저러니; 이것저것,,140,부사,,,,,~161.csv
なんと,,얼마나; 무려; 뜻밖에도,,140,부사,,,,,~161.csv
なんとなく,,왠지 모르게,,140,부사,,,,,~161.csv
なんなりと,,무엇이든지,,140,부사,,,,,~161.csv
はっと,,깜짝; 문득,,140,부사·의태어,,,,,~161.csv
はるかに,,훨씬; 아득히,,140,부사,,,,,~161.csv
はるばる,,멀리서 일부러,,140,부사,,,,,~161.csv
ひそひそ,,소곤소곤,,140,부사·의태어,,,,,~161.csv
ひたすら,,오로지; 한결같이,,140,부사,,,,,~161.csv
ひょっと,,뜻밖에; 혹시,,140,부사,,,,,~161.csv
ぴんぴん,,팔팔하게; 펄떡펄떡,,140,부사·의태어,,,,,~161.csv
ひんやり,,서늘하게; 차갑게,,140,부사·의태어,,,,,~161.csv
ふいに,,갑자기; 느닷없이,,140,부사,,,,,~161.csv
ふらふらと,,비틀비틀; 어슬렁어슬렁,,140,부사·의태어,,,,,~161.csv
べとべと,,끈적끈적,,140,부사·의태어,,,,,~161.csv
ぼうぜんと,,망연히; 멍하니,,140,부사,,,,,~161.csv
まして,,더구나; 하물며,,141,부사,,,,,~161.csv
まるっきり,,완전히; 전혀,,141,부사,,,,,~161.csv
丸々,,전부; 완전히,,141,부사,,,,,~161.csv
まんざら,,반드시 ~인 것만은 아님,,141,부사,,,,,~161.csv
漫然と,,막연히; 멍하니,,141,부사,,,,,~161.csv
みすみす,,빤히 알면서도; 눈뜨고,,141,부사,,,,,~161.csv
みるみるうちに,,눈 깜짝할 사이에,,141,부사,,,,,~161.csv
めそめそ,,훌쩍훌쩍; 울상으로,,141,부사·의태어,,,,,~161.csv
もろもろ,,여러 가지; 제반,,141,부사·명사,,,,,~161.csv
やたらに,,마구; 몹시,,141,부사,,,,,~161.csv
やんわりと,,부드럽게; 완곡하게,,141,부사,,,,,~161.csv
よもや,,설마,,141,부사,,,,,~161.csv
アクセル,,액셀; 가속 장치,,141,외래어,,,,,~161.csv
アピール,,호소; 어필,,141,외래어,,,,,~161.csv
アンコール,,앙코르; 재청,,141,외래어,,,,,~161.csv
インターン,,인턴; 실습생,,141,외래어,,,,,~161.csv
インターチェンジ,,인터체인지; 고속도로 나들목,,141,외래어,,,,,~161.csv
インテリ,,인텔리; 지식인,,141,외래어,,,,,~161.csv
インテリア,,인테리어; 실내 장식,,141,외래어,,,,,~161.csv
インフルエンザ,,인플루엔자; 독감,,141,외래어,,,,,~161.csv
インフレ,,인플레이션,,141,외래어,,,,,~161.csv
ウェット,,감상적임; 인정이 많음,,141,외래어,,,,,~161.csv
ウェブ,,웹,,141,외래어,,,,,~161.csv
エース,,에이스; 제일인자,,141,외래어,,,,,~161.csv
エピローグ,,에필로그; 종막,,141,외래어,,,,,~161.csv
エントリー,,참가 등록; 출전 명단; 입문용,,141,외래어,,,,,~161.csv
オプション,,옵션; 선택 사항,,141,외래어,,,,,~161.csv
オリエンテーション,,오리엔테이션; 안내 교육,,141,외래어,,,,,~161.csv
ガード,,가드; 보호 장치,,142,외래어,,,,,~161.csv
ガードレール,,가드레일,,142,외래어,,,,,~161.csv
カーペット,,카펫; 융단,,142,외래어,,,,,~161.csv
カテゴリー,,카테고리; 범주,,142,외래어,,,,,~161.csv
カウンター,,카운터; 계산대,,142,외래어,,,,,~161.csv
カウント,,카운트; 셈,,142,외래어,,,,,~161.csv
カルテ,,진료 기록 카드; 차트,,142,외래어,,,,,~161.csv
キープ,,확보; 보유,,142,외래어,,,,,~161.csv
ギブアップ,,기브업; 단념,,142,외래어,,,,,~161.csv
キャスター,,방송 진행자; 해설자,,142,외래어,,,,,~161.csv
キャスト,,배역; 출연진,,142,외래어,,,,,~161.csv
キャッチ,,캐치; 붙잡음,,142,외래어,,,,,~161.csv
キャップ,,캡; 모자; 뚜껑,,142,외래어,,,,,~161.csv
キャラクター,,캐릭터; 성격; 인물,,142,외래어,,,,,~161.csv
クリア,,통과; 해결,,142,외래어,,,,,~161.csv
クローズアップ,,클로즈업; 부각,,142,외래어,,,,,~161.csv
グローバル,,글로벌; 세계적,,142,외래어,,,,,~161.csv
コーディネーター,,코디네이터; 조정자,,142,외래어,,,,,~161.csv
コネクション,,연줄; 인맥,,142,외래어,,,R0032,コネクション／コネ,~161.csv
コネ,,연줄; 인맥,,142,외래어,,,R0032,コネクション／コネ,~161.csv
コマーシャル,,상업 광고,,142,외래어,,,,,~161.csv
サポーター,,후원자; 지지자,,142,외래어,,,,,~161.csv
シート,,시트; 좌석; 자리,,142,외래어,,,,,~161.csv
ジャズ,,재즈,,142,외래어,,,,,~161.csv
シャトル,,셔틀,,142,외래어,,,,,~161.csv
ジャンプ,,점프; 도약,,142,외래어,,,,,~161.csv
ジャンボ,,점보; 거대한 것,,142,외래어,,,,,~161.csv
スクラップ,,스크랩; 고철,,142,외래어,,,,,~161.csv
ステーション,,역; 정거장,,142,외래어,,,,,~161.csv
ステータス,,사회적 지위; 신분,,142,외래어,,,,,~161.csv
ストライキ,,파업,,142,외래어,,,R0033,ストライキ／スト,~161.csv
スト,,파업,,142,외래어,,,R0033,ストライキ／スト,~161.csv
ストロー,,빨대,,142,외래어,,,,,~161.csv
ストロボ,,스트로보; 섬광 장치,,142,외래어,,,,,~161.csv
スリル,,스릴,,142,외래어,,,,,~161.csv
スローガン,,슬로건; 표어,,142,외래어,,,,,~161.csv
ソックス,,양말,,142,외래어,,,,,~161.csv
タイムリー,,시의적절함,,142,외래어,,,,,~161.csv
タッチ,,터치; 접촉; 감촉,,142,외래어,,,,,~161.csv
タレント,,탤런트; 재능 있는 사람,,142,외래어,,,,,~161.csv
チャイム,,차임; 종소리,,142,외래어,,,,,~161.csv
チャージ,,충전; 요금 부과,,142,외래어,,,,,~161.csv
チャンネル,,채널,,142,외래어,,,,,~161.csv
ティッシュ（ペーパー）,,티슈; 화장지,,142,외래어,,,,,~161.csv
データベース,,데이터베이스,,142,외래어,,,,,~161.csv
デッサン,,데생; 소묘,,142,외래어,,,,,~161.csv
テナント,,임차 점포; 입주 업체,,142,외래어,,,,,~161.csv
デビュー,,데뷔,,142,외래어,,,,,~161.csv
デフレ,,디플레이션,,142,외래어,,,,,~161.csv
ドライ,,건조함; 냉정함,,142,외래어,,,,,~161.csv
トリック,,속임수; 책략,,142,외래어,,,,,~161.csv
ドリル,,드릴; 반복 연습,,143,외래어,,,,,~161.csv
ネゴ,,협상; 교섭,,143,외래어,,,R0034,ネゴ／ネゴシエーション,~161.csv
ネゴシエーション,,협상; 교섭,,143,외래어,,,R0034,ネゴ／ネゴシエーション,~161.csv
ノイローゼ,,노이로제; 신경증,,143,외래어,,,,,~161.csv
ノルマ,,할당량; 목표량,,143,외래어,,,,,~161.csv
バッジ,,배지; 휘장,,143,외래어,,,,,~161.csv
バッテリー,,배터리,,143,외래어,,,,,~161.csv
バット,,배트,,143,외래어,,,,,~161.csv
パトカー,,순찰차,,143,외래어,,,,,~161.csv
パロディー,,패러디,,143,외래어,,,,,~161.csv
ファイル,,파일,,143,외래어,,,,,~161.csv
フィルター,,필터,,143,외래어,,,,,~161.csv
フェリー,,페리; 연락선,,143,외래어,,,,,~161.csv
ブザー,,버저; 경보음,,143,외래어,,,,,~161.csv
フラッシュ,,플래시; 섬광,,143,외래어,,,,,~161.csv
ブランド,,브랜드; 상표,,143,외래어,,,,,~161.csv
ブロック,,블록; 구획,,143,외래어,,,,,~161.csv
プロローグ,,프롤로그; 서막,,143,외래어,,,,,~161.csv
フロント,,정면; 호텔 접수대,,143,외래어,,,,,~161.csv
ペア,,한 쌍; 짝,,143,외래어,,,,,~161.csv
ベース,,기초; 토대,,143,외래어,,,,,~161.csv
ポジション,,지위; 위치; 수비 위치,,143,외래어,,,,,~161.csv
ポジティブ,,적극적; 긍정적,,143,외래어,,,,,~161.csv
マージン,,마진; 이윤,,143,외래어,,,,,~161.csv
マスコミ,,매스컴,,143,외래어,,,,,~161.csv
マスメディア,,매스미디어,,143,외래어,,,,,~161.csv
マッサージ,,마사지,,143,외래어,,,,,~161.csv
メロディー,,멜로디; 선율,,143,외래어,,,,,~161.csv
ユニフォーム,,유니폼; 제복,,143,외래어,,,,,~161.csv
ランク,,등급; 순위,,143,외래어,,,,,~161.csv
リアリティー,,현실감,,143,외래어,,,,,~161.csv
レッテル,,라벨; 낙인; 꼬리표,,143,외래어,,,,,~161.csv
レギュラー,,정규 멤버; 고정 출연자,,143,외래어,,,,,~161.csv
レバー,,레버; 지렛대,,143,외래어,,,,,~161.csv
レントゲン,,엑스레이,,143,외래어,,,,,~161.csv
ロケーション,,현지 촬영; 촬영지,,143,외래어,,,R0035,ロケーション／ロケ,~161.csv
ロケ,,현지 촬영; 촬영지,,143,외래어,,,R0035,ロケーション／ロケ,~161.csv
ロック,,자물쇠를 잠금; 록 음악,,143,외래어,,,,,~161.csv
ワット,,와트,,143,외래어,,,,,~161.csv
～戦,,~전; 전투·경기,,144,접미어,,,,,~161.csv
決勝戦,,결승전,,144,파생어,,,,,~161.csv
延長戦,,연장전,,144,파생어,,,,,~161.csv
空中戦,,공중전,,144,파생어,,,,,~161.csv
～隊,,~대; 부대,,144,접미어,,,,,~161.csv
音楽隊,,음악대,,144,파생어,,,,,~161.csv
捜索隊,,수색대,,144,파생어,,,,,~161.csv
探検隊,,탐험대,,144,파생어,,,,,~161.csv
～味,,~미; 느낌·맛,,144,접미어,,,,,~161.csv
現実味,,현실미; 현실감,,144,파생어,,,,,~161.csv
新鮮味,,신선미,,144,파생어,,,,,~161.csv
人間味,,인간미,,144,파생어,,,,,~161.csv
～網,,~망,,144,접미어,,,,,~161.csv
情報網,,정보망,,144,파생어,,,,,~161.csv
通信網,,통신망,,144,파생어,,,,,~161.csv
放送網,,방송망,,144,파생어,,,,,~161.csv
～欄,,~란; 난,,144,접미어,,,,,~161.csv
家庭欄,,가정란,,144,파생어,,,,,~161.csv
広告欄,,광고란,,144,파생어,,,,,~161.csv
国籍欄,,국적란,,144,파생어,,,,,~161.csv
～裏,,~리; 남몰래,,144,접미어,,,,,~161.csv
成功裏,,성공리에,,144,파생어,,,,,~161.csv
秘密裏,,비밀리에,,144,파생어,,,,,~161.csv
～こなす,,능숙하게 ~해 내다,,145,복합어,,,,,~161.csv
着こなす,,옷을 맵시 있게 입다,,145,복합어,,,,,~161.csv
使いこなす,,능숙하게 다루다,,145,복합어,,,,,~161.csv
弾きこなす,,능숙하게 연주하다,,145,복합어,,,,,~161.csv
～込む,,깊이·충분히 ~하다; 안으로 들어가다,,145,복합어,,,,,~161.csv
飛び込む,,뛰어들다,,145,복합어,,,,,~161.csv
割り込む,,끼어들다,,145,복합어,,,,,~161.csv
思い込む,,굳게 믿다; 단정하다,,145,복합어,,,,,~161.csv
